OrderID,OrderDate,WarehouseID,ShipmentDate,DeliveryDate,DelayDays
O000060,2023-07-25,W03,2023-08-01,2023-08-07,3
O000061,2023-03-22,W03,2023-03-31,2023-04-05,2
O000062,2023-02-19,W02,2023-02-22,2023-02-27,2
O000063,2023-12-26,W01,2024-01-02,2024-01-05,0
O000064,2023-01-02,W01,2023-01-06,2023-01-11,2
O000065,2023-02-23,W05,2023-02-24,2023-02-26,0
O000066,2023-04-16,W01,2023-04-21,2023-04-24,0
O000067,2023-09-17,W02,2023-09-25,2023-09-26,0
O000068,2023-11-06,W01,2023-11-09,2023-11-15,3
O000069,2023-07-10,W04,2023-07-14,2023-07-18,1
O000070,2023-08-06,W04,2023-08-09,2023-08-15,3
O000071,2023-02-13,W02,2023-02-21,2023-02-24,0
O000072,2023-06-11,W05,2023-06-19,2023-06-22,0
O000073,2023-07-21,W03,2023-07-25,2023-07-26,0
O000074,2023-09-27,W01,2023-09-29,2023-10-04,2
O000075,2023-12-17,W05,2023-12-20,2023-12-25,2
O000076,2023-10-31,W05,2023-11-03,2023-11-06,0
O000077,2023-09-28,W01,2023-10-02,2023-10-07,2
O000078,2023-08-03,W03,2023-08-05,2023-08-08,0
O000079,2023-09-09,W01,2023-09-11,2023-09-17,3
O000080,2023-07-09,W03,2023-07-12,2023-07-16,1
O000081,2023-10-23,W02,2023-10-24,2023-10-30,3
O000082,2023-08-01,W03,2023-08-09,2023-08-13,1
O000083,2023-07-27,W05,2023-08-02,2023-08-03,0
O000084,2023-08-25,W02,2023-08-28,2023-08-30,0
O000085,2023-12-04,W04,2023-12-05,2023-12-07,0
O000086,2023-02-22,W02,2023-02-25,2023-03-03,3
O000087,2023-10-07,W03,2023-10-08,2023-10-13,2
O000088,2023-08-05,W02,2023-08-08,2023-08-10,0
O000089,2023-09-09,W02,2023-09-13,2023-09-17,1
O000090,2023-07-07,W04,2023-07-13,2023-07-14,0
O000091,2023-02-10,W03,2023-02-17,2023-02-21,1
O000092,2023-06-06,W05,2023-06-13,2023-06-16,0
O000093,2023-01-15,W02,2023-01-24,2023-01-29,2
O000094,2023-10-28,W01,2023-11-05,2023-11-10,2
O000095,2023-03-06,W05,2023-03-10,2023-03-12,0
O000096,2023-12-11,W02,2023-12-17,2023-12-20,0
O000097,2023-11-23,W05,2023-11-24,2023-11-26,0
O000098,2023-01-09,W01,2023-01-17,2023-01-19,0
O000099,2023-12-10,W05,2023-12-16,2023-12-18,0
O000100,2023-05-09,W05,2023-05-11,2023-05-14,0
O000101,2023-05-16,W01,2023-05-24,2023-05-26,0
O000102,2023-03-04,W01,2023-03-08,2023-03-13,2
O000103,2023-05-19,W01,2023-05-28,2023-05-30,0
O000104,2023-03-22,W04,2023-03-26,2023-03-29,0
O000105,2023-06-12,W01,2023-06-13,2023-06-16,0
O000106,2023-10-16,W05,2023-10-23,2023-10-27,1
O000107,2023-09-18,W01,2023-09-23,2023-09-25,0
O000108,2023-08-19,W02,2023-08-24,2023-08-27,0
O000109,2023-02-10,W01,2023-02-14,2023-02-20,3
O000110,2023-01-28,W01,2023-02-03,2023-02-05,0
O000111,2023-05-15,W03,2023-05-16,2023-05-17,0
O000112,2023-07-20,W05,2023-07-23,2023-07-28,2
O000113,2023-11-24,W05,2023-12-01,2023-12-06,2
O000114,2023-09-25,W02,2023-10-03,2023-10-09,3
O000115,2023-02-02,W04,2023-02-11,2023-02-13,0
O000116,2023-02-17,W03,2023-02-18,2023-02-23,2
O000117,2023-03-03,W02,2023-03-07,2023-03-12,2
O000118,2023-08-04,W02,2023-08-06,2023-08-07,0
O000119,2023-10-20,W05,2023-10-22,2023-10-27,2
O000120,2023-04-09,W03,2023-04-10,2023-04-15,2
O000121,2023-06-21,W05,2023-06-26,2023-06-29,0
O000122,2023-12-26,W04,2023-12-28,2024-01-02,2
O000123,2023-08-02,W05,2023-08-06,2023-08-08,0
O000124,2023-02-04,W01,2023-02-13,2023-02-18,2
O000125,2023-08-15,W05,2023-08-18,2023-08-20,0
O000126,2023-04-11,W01,2023-04-19,2023-04-24,2
O000127,2023-05-11,W02,2023-05-17,2023-05-19,0
O000128,2023-09-14,W04,2023-09-19,2023-09-24,2
O000129,2023-01-05,W01,2023-01-07,2023-01-13,3
O000130,2023-08-06,W04,2023-08-09,2023-08-11,0
O000131,2023-09-12,W05,2023-09-20,2023-09-25,2
O000132,2023-12-25,W05,2024-01-03,2024-01-04,0
O000133,2023-10-10,W02,2023-10-17,2023-10-20,0
O000134,2023-07-26,W05,2023-07-27,2023-07-30,0
O000135,2023-01-15,W01,2023-01-21,2023-01-24,0
O000136,2023-12-12,W02,2023-12-19,2023-12-22,0
O000137,2023-02-11,W04,2023-02-17,2023-02-18,0
O000138,2023-06-28,W02,2023-06-30,2023-07-06,3
O000139,2023-03-04,W04,2023-03-13,2023-03-19,3
O000140,2023-12-18,W03,2023-12-21,2023-12-22,0
O000141,2023-08-19,W01,2023-08-25,2023-08-30,2
O000142,2023-08-29,W01,2023-09-04,2023-09-05,0
O000143,2023-02-21,W04,2023-03-01,2023-03-04,0
O000144,2023-04-06,W05,2023-04-10,2023-04-16,3
O000145,2023-08-10,W05,2023-08-16,2023-08-20,1
O000146,2023-08-19,W03,2023-08-20,2023-08-25,2
O000147,2023-08-25,W04,2023-09-03,2023-09-05,0
O000148,2023-05-23,W03,2023-06-01,2023-06-07,3
O000149,2023-06-20,W04,2023-06-27,2023-06-30,0
O000150,2023-01-29,W03,2023-01-30,2023-02-05,3
O000151,2023-02-05,W04,2023-02-08,2023-02-11,0
O000152,2023-01-13,W01,2023-01-18,2023-01-21,0
O000153,2023-06-09,W03,2023-06-13,2023-06-19,3
O000154,2023-11-23,W03,2023-11-28,2023-12-04,3
O000155,2023-07-06,W04,2023-07-13,2023-07-19,3
O000156,2023-08-31,W02,2023-09-09,2023-09-10,0
O000157,2023-03-27,W02,2023-03-28,2023-04-03,3
O000158,2023-10-11,W01,2023-10-16,2023-10-18,0
O000159,2023-03-07,W05,2023-03-10,2023-03-15,2
O000160,2023-06-19,W05,2023-06-22,2023-06-25,0
O000161,2023-02-14,W01,2023-02-16,2023-02-22,3
O000162,2023-03-03,W05,2023-03-09,2023-03-11,0
O000163,2023-05-14,W04,2023-05-20,2023-05-24,1
O000164,2023-10-11,W02,2023-10-14,2023-10-20,3
O000165,2023-01-28,W01,2023-01-29,2023-01-30,0
O000166,2023-04-18,W04,2023-04-25,2023-04-28,0
O000167,2023-02-13,W01,2023-02-15,2023-02-17,0
O000168,2023-12-06,W02,2023-12-14,2023-12-20,3
O000169,2023-10-13,W05,2023-10-16,2023-10-18,0
O000170,2023-11-27,W04,2023-11-28,2023-12-01,0
O000171,2023-05-08,W02,2023-05-17,2023-05-19,0
O000172,2023-12-14,W01,2023-12-19,2023-12-21,0
O000173,2023-08-19,W03,2023-08-20,2023-08-26,3
O000174,2023-07-09,W04,2023-07-15,2023-07-21,3
O000175,2023-08-13,W01,2023-08-16,2023-08-21,2
O000176,2023-10-10,W01,2023-10-14,2023-10-15,0
O000177,2023-05-01,W02,2023-05-09,2023-05-14,2
O000178,2023-04-26,W01,2023-05-01,2023-05-02,0
O000179,2023-08-21,W04,2023-08-27,2023-08-28,0
O000180,2023-09-16,W04,2023-09-20,2023-09-25,2
O000181,2023-12-25,W01,2023-12-31,2024-01-03,0
O000182,2023-07-17,W02,2023-07-20,2023-07-22,0
O000183,2023-05-17,W04,2023-05-18,2023-05-22,1
O000184,2023-11-14,W03,2023-11-20,2023-11-25,2
O000185,2023-06-14,W05,2023-06-15,2023-06-20,2
O000186,2023-08-13,W02,2023-08-16,2023-08-19,0
O000187,2023-11-03,W02,2023-11-11,2023-11-13,0
O000188,2023-08-22,W05,2023-08-29,2023-09-04,3
O000189,2023-06-21,W05,2023-06-29,2023-07-04,2
O000190,2023-06-01,W04,2023-06-03,2023-06-07,1
O000191,2023-11-11,W01,2023-11-18,2023-11-20,0
O000192,2023-06-09,W01,2023-06-13,2023-06-18,2
O000193,2023-04-06,W03,2023-04-07,2023-04-13,3
O000194,2023-08-21,W01,2023-08-24,2023-08-29,2
O000195,2023-06-29,W03,2023-07-04,2023-07-10,3
O000196,2023-04-23,W03,2023-05-01,2023-05-02,0
O000197,2023-11-14,W02,2023-11-16,2023-11-17,0
O000198,2023-02-21,W02,2023-02-23,2023-02-28,2
O000199,2023-09-25,W04,2023-10-03,2023-10-06,0
O000200,2023-10-22,W05,2023-10-31,2023-11-01,0
O000201,2023-04-23,W05,2023-04-24,2023-04-29,2
O000202,2023-04-11,W03,2023-04-13,2023-04-19,3
O000203,2023-04-23,W05,2023-04-27,2023-04-29,0
O000204,2023-03-22,W03,2023-03-25,2023-03-31,3
O000205,2023-07-06,W05,2023-07-07,2023-07-11,1
O000206,2023-04-23,W04,2023-04-27,2023-04-28,0
O000207,2023-01-02,W02,2023-01-04,2023-01-09,2
O000208,2023-05-10,W02,2023-05-15,2023-05-16,0
O000209,2023-08-08,W03,2023-08-09,2023-08-15,3
O000210,2023-02-23,W05,2023-03-03,2023-03-09,3
O000211,2023-12-09,W01,2023-12-11,2023-12-13,0
O000212,2023-08-12,W04,2023-08-15,2023-08-18,0
O000213,2023-08-13,W05,2023-08-16,2023-08-21,2
O000214,2023-05-06,W01,2023-05-10,2023-05-12,0
O000215,2023-05-10,W04,2023-05-17,2023-05-21,1
O000216,2023-02-22,W04,2023-03-03,2023-03-08,2
O000217,2023-06-21,W02,2023-06-24,2023-06-28,1
O000218,2023-08-06,W03,2023-08-07,2023-08-10,0
O000219,2023-06-09,W05,2023-06-10,2023-06-15,2
O000220,2023-07-17,W04,2023-07-23,2023-07-28,2
O000221,2023-09-04,W05,2023-09-09,2023-09-11,0
O000222,2023-11-20,W04,2023-11-27,2023-11-28,0
O000223,2023-07-22,W02,2023-07-29,2023-08-03,2
O000224,2023-07-03,W03,2023-07-06,2023-07-09,0
O000225,2023-05-03,W01,2023-05-10,2023-05-15,2
O000226,2023-09-12,W01,2023-09-21,2023-09-26,2
O000227,2023-10-21,W02,2023-10-29,2023-11-03,2
O000228,2023-10-07,W04,2023-10-10,2023-10-15,2
O000229,2023-11-21,W02,2023-11-26,2023-11-29,0
O000230,2023-04-08,W03,2023-04-16,2023-04-18,0
O000231,2023-07-17,W01,2023-07-19,2023-07-20,0
O000232,2023-08-28,W05,2023-09-04,2023-09-07,0
O000233,2023-05-24,W01,2023-05-31,2023-06-03,0
O000234,2023-04-07,W03,2023-04-15,2023-04-19,1
O000235,2023-07-20,W04,2023-07-21,2023-07-22,0
O000236,2023-05-04,W02,2023-05-12,2023-05-14,0
O000237,2023-07-06,W01,2023-07-07,2023-07-13,3
O000238,2023-11-22,W01,2023-11-25,2023-11-27,0
O000239,2023-12-15,W05,2023-12-24,2023-12-30,3
O000240,2023-09-16,W02,2023-09-20,2023-09-24,1
O000241,2023-05-28,W05,2023-06-06,2023-06-10,1
O000242,2023-09-09,W05,2023-09-10,2023-09-13,0
O000243,2023-12-12,W04,2023-12-20,2023-12-22,0
O000244,2023-05-27,W01,2023-05-30,2023-06-05,3
O000245,2023-05-28,W02,2023-06-04,2023-06-06,0
O000246,2023-12-18,W04,2023-12-20,2023-12-26,3
O000247,2023-07-18,W04,2023-07-25,2023-07-27,0
O000248,2023-11-04,W04,2023-11-11,2023-11-14,0
O000249,2023-05-08,W03,2023-05-17,2023-05-23,3
O000250,2023-02-08,W03,2023-02-10,2023-02-12,0
O000251,2023-12-04,W04,2023-12-12,2023-12-17,2
O000252,2023-12-26,W03,2023-12-31,2024-01-04,1
O000253,2023-05-09,W02,2023-05-18,2023-05-22,1
O000254,2023-09-24,W01,2023-10-02,2023-10-08,3
O000255,2023-05-31,W02,2023-06-03,2023-06-07,1
O000256,2023-10-25,W01,2023-10-28,2023-11-01,1
O000257,2023-04-09,W03,2023-04-17,2023-04-22,2
O000258,2023-09-20,W02,2023-09-29,2023-09-30,0
O000259,2023-09-09,W05,2023-09-11,2023-09-13,0
O000260,2023-05-24,W04,2023-05-27,2023-06-02,3
O000261,2023-12-12,W01,2023-12-20,2023-12-24,1
O000262,2023-04-22,W01,2023-04-24,2023-04-26,0
O000263,2023-03-01,W05,2023-03-09,2023-03-11,0
O000264,2023-01-02,W05,2023-01-07,2023-01-12,2
O000265,2023-10-31,W04,2023-11-06,2023-11-08,0
O000266,2023-09-11,W03,2023-09-15,2023-09-19,1
O000267,2023-05-20,W02,2023-05-23,2023-05-29,3
O000268,2023-02-06,W02,2023-02-14,2023-02-16,0
O000269,2023-06-09,W02,2023-06-18,2023-06-23,2
O000270,2023-01-09,W03,2023-01-17,2023-01-23,3
O000271,2023-08-21,W04,2023-08-30,2023-09-05,3
O000272,2023-04-09,W02,2023-04-10,2023-04-16,3
O000273,2023-05-27,W01,2023-06-01,2023-06-05,1
O000274,2023-10-31,W01,2023-11-07,2023-11-12,2
O000275,2023-07-27,W01,2023-08-04,2023-08-07,0
O000276,2023-05-11,W05,2023-05-13,2023-05-14,0
O000277,2023-06-01,W05,2023-06-05,2023-06-07,0
O000278,2023-02-23,W03,2023-03-02,2023-03-04,0
O000279,2023-04-30,W02,2023-05-05,2023-05-07,0
O000280,2023-06-10,W05,2023-06-11,2023-06-14,0
O000281,2023-04-26,W01,2023-04-28,2023-05-04,3
O000282,2023-03-16,W05,2023-03-21,2023-03-27,3
O000283,2023-04-23,W01,2023-04-29,2023-04-30,0
O000284,2023-04-14,W02,2023-04-15,2023-04-20,2
O000285,2023-12-06,W03,2023-12-09,2023-12-12,0
O000286,2023-09-11,W04,2023-09-17,2023-09-20,0
O000287,2023-08-15,W04,2023-08-21,2023-08-25,1
O000288,2023-04-22,W01,2023-04-29,2023-05-05,3
O000289,2023-04-09,W05,2023-04-12,2023-04-15,0
O000290,2023-06-02,W05,2023-06-03,2023-06-06,0
O000291,2023-12-15,W01,2023-12-22,2023-12-24,0
O000292,2023-12-04,W02,2023-12-07,2023-12-13,3
O000293,2023-07-13,W01,2023-07-18,2023-07-22,1
O000294,2023-11-06,W02,2023-11-10,2023-11-15,2
O000295,2023-06-12,W03,2023-06-13,2023-06-14,0
O000296,2023-07-27,W03,2023-08-03,2023-08-08,2
O000297,2023-06-18,W01,2023-06-22,2023-06-26,1
O000298,2023-06-10,W03,2023-06-11,2023-06-13,0
O000299,2023-03-09,W05,2023-03-15,2023-03-16,0
O000300,2023-10-16,W02,2023-10-20,2023-10-25,2
O000301,2023-10-04,W04,2023-10-08,2023-10-14,3
O000302,2023-10-31,W04,2023-11-02,2023-11-08,3
O000303,2023-05-15,W03,2023-05-16,2023-05-17,0
O000304,2023-07-14,W02,2023-07-17,2023-07-18,0
O000305,2023-05-08,W05,2023-05-13,2023-05-14,0
O000306,2023-02-02,W04,2023-02-11,2023-02-14,0
O000307,2023-06-25,W05,2023-07-02,2023-07-06,1
O000308,2023-01-22,W05,2023-01-26,2023-02-01,3
O000309,2023-08-26,W04,2023-09-03,2023-09-09,3
O000310,2023-06-07,W04,2023-06-11,2023-06-15,1
O000311,2023-02-07,W03,2023-02-13,2023-02-15,0
O000312,2023-08-18,W02,2023-08-19,2023-08-25,3
O000313,2023-12-31,W01,2024-01-06,2024-01-11,2
O000314,2023-02-20,W02,2023-02-25,2023-02-27,0
O000315,2023-09-21,W01,2023-09-23,2023-09-28,2
O000316,2023-10-10,W04,2023-10-11,2023-10-12,0
O000317,2023-01-27,W05,2023-02-02,2023-02-08,3
O000318,2023-08-14,W02,2023-08-16,2023-08-21,2
O000319,2023-10-04,W05,2023-10-13,2023-10-18,2
O000320,2023-10-13,W02,2023-10-22,2023-10-23,0
O000321,2023-04-07,W02,2023-04-08,2023-04-10,0
O000322,2023-10-11,W05,2023-10-16,2023-10-21,2
O000323,2023-11-13,W03,2023-11-21,2023-11-27,3
O000324,2023-10-31,W04,2023-11-04,2023-11-06,0
O000325,2023-05-27,W03,2023-05-30,2023-06-01,0
O000326,2023-01-04,W03,2023-01-09,2023-01-13,1
O000327,2023-02-04,W02,2023-02-09,2023-02-15,3
O000328,2023-07-11,W04,2023-07-19,2023-07-25,3
O000329,2023-02-18,W02,2023-02-24,2023-02-25,0
O000330,2023-01-17,W01,2023-01-19,2023-01-20,0
O000331,2023-06-21,W02,2023-06-22,2023-06-25,0
O000332,2023-08-08,W05,2023-08-11,2023-08-17,3
O000333,2023-06-07,W02,2023-06-09,2023-06-11,0
O000334,2023-02-15,W01,2023-02-19,2023-02-22,0
O000335,2023-01-06,W02,2023-01-09,2023-01-15,3
O000336,2023-04-09,W01,2023-04-18,2023-04-19,0
O000337,2023-08-21,W04,2023-08-26,2023-08-27,0
O000338,2023-02-06,W02,2023-02-10,2023-02-16,3
O000339,2023-10-07,W01,2023-10-16,2023-10-19,0
O000340,2023-12-15,W04,2023-12-19,2023-12-20,0
O000341,2023-10-29,W05,2023-11-04,2023-11-05,0
O000342,2023-06-30,W03,2023-07-01,2023-07-05,1
O000343,2023-04-05,W01,2023-04-07,2023-04-12,2
O000344,2023-04-09,W05,2023-04-13,2023-04-19,3
O000345,2023-07-07,W04,2023-07-16,2023-07-20,1
O000346,2023-04-26,W05,2023-05-02,2023-05-07,2
O000347,2023-07-10,W02,2023-07-16,2023-07-22,3
O000348,2023-09-10,W03,2023-09-19,2023-09-23,1
O000349,2023-06-10,W01,2023-06-14,2023-06-18,1
O000350,2023-09-13,W04,2023-09-16,2023-09-22,3
O000351,2023-11-19,W03,2023-11-26,2023-11-28,0
O000352,2023-05-08,W04,2023-05-15,2023-05-18,0
O000353,2023-01-18,W05,2023-01-27,2023-02-02,3
O000354,2023-10-08,W04,2023-10-14,2023-10-18,1
O000355,2023-08-11,W04,2023-08-13,2023-08-15,0
O000356,2023-02-23,W05,2023-03-01,2023-03-05,1
O000357,2023-02-27,W05,2023-03-07,2023-03-10,0
O000358,2023-11-19,W03,2023-11-25,2023-11-27,0
O000359,2023-12-26,W01,2024-01-04,2024-01-10,3
O000360,2023-06-23,W05,2023-06-27,2023-07-02,2
O000361,2023-10-07,W03,2023-10-10,2023-10-13,0
O000362,2023-04-24,W04,2023-04-29,2023-04-30,0
O000363,2023-10-15,W04,2023-10-18,2023-10-24,3
O000364,2023-12-08,W02,2023-12-10,2023-12-16,3
O000365,2023-05-31,W05,2023-06-02,2023-06-08,3
O000366,2023-05-07,W03,2023-05-11,2023-05-13,0
O000367,2023-06-04,W03,2023-06-07,2023-06-08,0
O000368,2023-09-30,W01,2023-10-09,2023-10-11,0
O000369,2023-04-14,W03,2023-04-21,2023-04-26,2
O000370,2023-10-26,W05,2023-11-01,2023-11-03,0
O000371,2023-09-03,W03,2023-09-11,2023-09-17,3
O000372,2023-06-25,W02,2023-07-04,2023-07-08,1
O000373,2023-02-08,W04,2023-02-11,2023-02-12,0
O000374,2023-06-19,W04,2023-06-26,2023-06-27,0
O000375,2023-09-04,W03,2023-09-13,2023-09-15,0
O000376,2023-01-26,W03,2023-01-27,2023-01-31,1
O000377,2023-12-21,W03,2023-12-30,2024-01-03,1
O000378,2023-11-02,W03,2023-11-09,2023-11-11,0
O000379,2023-01-13,W02,2023-01-17,2023-01-20,0
O000380,2023-11-12,W05,2023-11-18,2023-11-23,2
O000381,2023-11-09,W02,2023-11-15,2023-11-17,0
O000382,2023-02-05,W02,2023-02-11,2023-02-17,3
O000383,2023-06-22,W02,2023-06-24,2023-06-28,1
O000384,2023-01-20,W04,2023-01-25,2023-01-30,2
O000385,2023-11-17,W02,2023-11-24,2023-11-26,0
O000386,2023-09-21,W03,2023-09-27,2023-10-02,2
O000387,2023-05-22,W02,2023-05-25,2023-05-28,0
O000388,2023-05-23,W03,2023-05-28,2023-06-01,1
O000389,2023-04-02,W05,2023-04-10,2023-04-13,0
O000390,2023-12-20,W04,2023-12-25,2023-12-28,0
O000391,2023-11-18,W05,2023-11-21,2023-11-25,1
O000392,2023-10-15,W05,2023-10-24,2023-10-30,3
O000393,2023-08-03,W04,2023-08-06,2023-08-09,0
O000394,2023-12-08,W03,2023-12-10,2023-12-12,0
O000395,2023-02-20,W03,2023-02-26,2023-02-28,0
O000396,2023-06-02,W03,2023-06-10,2023-06-15,2
O000397,2023-07-05,W04,2023-07-11,2023-07-13,0
O000398,2023-03-04,W02,2023-03-05,2023-03-07,0
O000399,2023-07-09,W01,2023-07-17,2023-07-22,2
O000400,2023-05-05,W02,2023-05-06,2023-05-07,0
O000401,2023-05-30,W02,2023-06-08,2023-06-12,1
O000402,2023-11-10,W05,2023-11-18,2023-11-20,0
O000403,2023-02-27,W01,2023-03-05,2023-03-10,2
O000404,2023-12-08,W03,2023-12-10,2023-12-13,0
O000405,2023-11-01,W02,2023-11-10,2023-11-13,0
O000406,2023-06-29,W04,2023-07-07,2023-07-13,3
O000407,2023-06-19,W02,2023-06-23,2023-06-25,0
O000408,2023-11-22,W03,2023-11-24,2023-11-28,1
O000409,2023-09-28,W02,2023-10-04,2023-10-09,2
O000410,2023-02-23,W05,2023-02-24,2023-03-02,3
O000411,2023-04-11,W05,2023-04-18,2023-04-24,3
O000412,2023-09-21,W02,2023-09-22,2023-09-27,2
O000413,2023-02-22,W05,2023-02-28,2023-03-05,2
O000414,2023-03-01,W04,2023-03-06,2023-03-11,2
O000415,2023-04-18,W01,2023-04-21,2023-04-26,2
O000416,2023-01-05,W02,2023-01-11,2023-01-15,1
O000417,2023-04-13,W04,2023-04-17,2023-04-22,2
O000418,2023-07-15,W04,2023-07-21,2023-07-25,1
O000419,2023-09-19,W04,2023-09-23,2023-09-27,1
O000420,2023-12-31,W03,2024-01-01,2024-01-05,1
O000421,2023-12-16,W02,2023-12-21,2023-12-24,0
O000422,2023-02-16,W02,2023-02-24,2023-02-25,0
O000423,2023-12-21,W02,2023-12-27,2024-01-02,3
O000424,2023-11-07,W01,2023-11-16,2023-11-18,0
O000425,2023-11-04,W04,2023-11-08,2023-11-11,0
O000426,2023-05-24,W02,2023-06-02,2023-06-03,0
O000427,2023-09-26,W05,2023-10-04,2023-10-10,3
O000428,2023-05-04,W03,2023-05-07,2023-05-10,0
O000429,2023-04-16,W01,2023-04-22,2023-04-28,3
O000430,2023-06-07,W03,2023-06-11,2023-06-15,1
O000431,2023-05-27,W04,2023-05-28,2023-06-01,1
O000432,2023-05-25,W05,2023-06-03,2023-06-08,2
O000433,2023-04-30,W04,2023-05-04,2023-05-08,1
O000434,2023-11-15,W02,2023-11-20,2023-11-23,0
O000435,2023-10-02,W03,2023-10-05,2023-10-11,3
O000436,2023-04-02,W05,2023-04-06,2023-04-08,0
O000437,2023-02-27,W03,2023-03-08,2023-03-14,3
O000438,2023-12-12,W01,2023-12-19,2023-12-23,1
O000439,2023-08-17,W05,2023-08-25,2023-08-31,3
O000440,2023-04-27,W01,2023-04-30,2023-05-01,0
O000441,2023-11-14,W05,2023-11-17,2023-11-23,3
O000442,2023-10-06,W02,2023-10-13,2023-10-16,0
O000443,2023-05-07,W03,2023-05-15,2023-05-16,0
O000444,2023-05-09,W03,2023-05-14,2023-05-19,2
O000445,2023-02-27,W04,2023-02-28,2023-03-05,2
O000446,2023-05-02,W05,2023-05-05,2023-05-11,3
O000447,2023-01-01,W05,2023-01-06,2023-01-08,0
O000448,2023-08-27,W01,2023-08-30,2023-09-02,0
O000449,2023-10-17,W05,2023-10-18,2023-10-20,0
O000450,2023-04-06,W03,2023-04-13,2023-04-14,0
O000451,2023-05-06,W05,2023-05-07,2023-05-09,0
O000452,2023-04-28,W04,2023-05-04,2023-05-05,0
O000453,2023-02-17,W04,2023-02-23,2023-02-25,0
O000454,2023-03-30,W03,2023-04-06,2023-04-11,2
O000455,2023-08-25,W03,2023-08-26,2023-08-29,0
O000456,2023-09-29,W03,2023-10-02,2023-10-04,0
O000457,2023-07-08,W05,2023-07-17,2023-07-23,3
O000458,2023-07-11,W05,2023-07-13,2023-07-14,0
O000459,2023-03-10,W02,2023-03-15,2023-03-21,3
O000460,2023-10-05,W01,2023-10-08,2023-10-11,0
O000461,2023-12-15,W05,2023-12-20,2023-12-26,3
O000462,2023-09-04,W02,2023-09-11,2023-09-16,2
O000463,2023-03-17,W02,2023-03-18,2023-03-23,2
O000464,2023-06-03,W04,2023-06-06,2023-06-10,1
